Order Number,Country Code,Country,Region,Item Number,Sales Qty,Sales Amount,Order Date,Order Week,Intercompany,Prod Segment,Product Code,Product Line,Invoice Number,Invoice Posting Date,Instrument Count
O-09754,CN,China,China,A2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A7525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A5325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4027,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4227,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A7027,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A1354,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A0162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0731,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2425,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0161,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0161,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0761,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0231,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2427,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C1162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C5325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0126,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2116,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3016,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3316,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3624,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A7525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A5325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4027,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4227,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A7027,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A1354,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A0162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0731,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C4325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2425,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0161,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0161,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0231,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2427,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C1162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C1162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C5325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0126,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3016,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3316,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3624,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A7525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A5325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4027,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4227,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A7027,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A1354,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A0162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0731,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C4325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2425,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0161,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0161,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0761,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0231,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2427,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C1162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C1162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C5325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0126,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2116,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3016,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3316,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3624,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A7525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A5325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4027,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4227,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A7027,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A1354,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A4962,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A0162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,B0225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0731,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C4325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2425,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0161,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0161,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2525,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0761,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0231,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2427,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C1162,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C5325,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,C0126,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2116,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3016,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3316,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A3624,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A2225,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
O-09754,CN,China,China,A6925,0,$0,1/14/2024,3,Intercompany,SolaCorp,SolaCorp Parts/Accessories,Parts/Accessories,I-09754,5/31/2024,0
