no,description,standardCost,qtyonPurchOrder,qtyonSalesOrder,replenishmentSystem,itemCategoryCode,Qty_onServiceOrder,c011_Consumable,qtyonProdOrder,qtyonComponentLines
A2325,Class A #2325,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2360,Class A #2360,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2362,Class A #2362,0,0,8,Prod. Order,XXX,0,FALSE,0,0
A2420,Class A #2420,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2425,Class A #2425,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2427,Class A #2427,0,0,-14,Prod. Order,XXX,0,FALSE,0,0
A2433,Class A #2433,0,0,5,Prod. Order,XXX,0,FALSE,0,0
A2455,Class A #2455,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2516,Class A #2516,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A2525,Class A #2525,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2609,Class A #2609,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2622,Class A #2622,0,0,12,Prod. Order,XXX,0,FALSE,0,0
A2625,Class A #2625,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2716,Class A #2716,0,0,5,Prod. Order,XXX,0,FALSE,0,0
A2725,Class A #2725,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2728,Class A #2728,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2825,Class A #2825,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2828,Class A #2828,0,0,71,Prod. Order,XXX,0,FALSE,0,0
A2920,Class A #2920,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2925,Class A #2925,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A2955,Class A #2955,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3016,Class A #3016,0,0,4,Prod. Order,XXX,0,TRUE,0,0
A3017,Class A #3017,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A3025,Class A #3025,0,0,4,Prod. Order,XXX,0,TRUE,0,0
A3051,Class A #3051,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A3054,Class A #3054,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A3055,Class A #3055,0,0,5,Prod. Order,XXX,0,TRUE,0,0
A3061,Class A #3061,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A3062,Class A #3062,0,0,2,Prod. Order,XXX,0,TRUE,0,0
A3116,Class A #3116,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A3122,Class A #3122,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3125,Class A #3125,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A3128,Class A #3128,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3132,Class A #3132,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3145,Class A #3145,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3155,Class A #3155,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A3222,Class A #3222,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3225,Class A #3225,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A3228,Class A #3228,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3235,Class A #3235,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3316,Class A #3316,0,0,18,Prod. Order,XXX,0,FALSE,0,0
A3322,Class A #3322,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A3325,Class A #3325,0,0,-1,Prod. Order,XXX,0,FALSE,0,0
A3328,Class A #3328,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3362,Class A #3362,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3425,Class A #3425,0,0,7,Prod. Order,XXX,0,FALSE,0,0
A3451,Class A #3451,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3462,Class A #3462,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3516,Class A #3516,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3555,Class A #3555,0,0,5,Prod. Order,XXX,0,FALSE,0,0
A3562,Class A #3562,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3563,Class A #3563,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3616,Class A #3616,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A3624,Class A #3624,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3625,Class A #3625,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A3627,Class A #3627,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3716,Class A #3716,0,0,-1,Prod. Order,XXX,0,FALSE,0,0
A3725,Class A #3725,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3728,Class A #3728,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3748,Class A #3748,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3756,Class A #3756,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3762,Class A #3762,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3816,Class A #3816,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3822,Class A #3822,0,0,-1,Prod. Order,XXX,0,FALSE,0,0
A3825,Class A #3825,0,0,-2,Prod. Order,XXX,0,FALSE,0,0
A3828,Class A #3828,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3922,Class A #3922,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3925,Class A #3925,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3954,Class A #3954,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A3955,Class A #3955,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A4016,Class A #4016,0,0,1,Prod. Order,XXX,0,TRUE,0,0
A4025,Class A #4025,0,0,82,Prod. Order,XXX,0,TRUE,0,0
A4027,Class A #4027,0,0,7,Prod. Order,XXX,0,TRUE,0,0
A4116,Class A #4116,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4125,Class A #4125,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4127,Class A #4127,0,0,101,Prod. Order,XXX,0,FALSE,0,0
A4217,Class A #4217,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4225,Class A #4225,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4227,Class A #4227,0,0,61,Prod. Order,XXX,0,FALSE,0,0
A4240,Class A #4240,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4316,Class A #4316,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A4317,Class A #4317,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4326,Class A #4326,0,0,-1,Prod. Order,XXX,0,FALSE,0,0
A4327,Class A #4327,0,0,20,Prod. Order,XXX,0,FALSE,0,0
A4416,Class A #4416,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A4421,Class A #4421,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4425,Class A #4425,0,0,562,Prod. Order,XXX,0,FALSE,0,0
A4426,Class A #4426,0,0,12,Prod. Order,XXX,0,FALSE,0,0
A4427,Class A #4427,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4460,Class A #4460,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4516,Class A #4516,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A4526,Class A #4526,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4625,Class A #4625,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4626,Class A #4626,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4627,Class A #4627,0,0,145,Prod. Order,XXX,0,FALSE,0,0
A4628,Class A #4628,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A4639,Class A #4639,0,0,31,Prod. Order,XXX,0,FALSE,0,0
A4721,Class A #4721,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4722,Class A #4722,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4725,Class A #4725,0,0,6,Prod. Order,XXX,0,FALSE,0,0
A4727,Class A #4727,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4751,Class A #4751,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4760,Class A #4760,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4816,Class A #4816,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A4822,Class A #4822,0,0,19,Prod. Order,XXX,0,FALSE,0,0
A4825,Class A #4825,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4840,Class A #4840,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4853,Class A #4853,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4922,Class A #4922,0,0,22,Prod. Order,XXX,0,FALSE,0,0
A4925,Class A #4925,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4926,Class A #4926,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4927,Class A #4927,0,0,105,Prod. Order,XXX,0,FALSE,0,0
A4940,Class A #4940,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4951,Class A #4951,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4960,Class A #4960,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A4962,Class A #4962,0,0,3,Prod. Order,XXX,0,FALSE,0,0
A5017,Class A #5017,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A5022,Class A #5022,0,0,6,Prod. Order,XXX,0,TRUE,0,0
A5026,Class A #5026,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A5028,Class A #5028,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A5051,Class A #5051,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A5061,Class A #5061,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A5062,Class A #5062,0,0,1,Prod. Order,XXX,0,TRUE,0,0
A5122,Class A #5122,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A5127,Class A #5127,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A5140,Class A #5140,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A5225,Class A #5225,0,0,6,Prod. Order,XXX,0,FALSE,0,0
A5227,Class A #5227,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A5228,Class A #5228,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A5325,Class A #5325,0,0,6,Prod. Order,XXX,0,FALSE,0,0
A5327,Class A #5327,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A5416,Class A #5416,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A5427,Class A #5427,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A5440,Class A #5440,0,0,6,Prod. Order,XXX,0,FALSE,0,0
A5527,Class A #5527,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A5616,Class A #5616,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A5620,Class A #5620,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A5621,Class A #5621,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A5627,Class A #5627,0,0,36,Prod. Order,XXX,0,FALSE,0,0
A5628,Class A #5628,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A5740,Class A #5740,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A5816,Class A #5816,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A5825,Class A #5825,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A5828,Class A #5828,0,0,4,Prod. Order,XXX,0,FALSE,0,0
A5925,Class A #5925,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A5932,Class A #5932,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6025,Class A #6025,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A6028,Class A #6028,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A6125,Class A #6125,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6128,Class A #6128,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6228,Class A #6228,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6240,Class A #6240,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A6316,Class A #6316,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6321,Class A #6321,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6325,Class A #6325,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6361,Class A #6361,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A6425,Class A #6425,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6432,Class A #6432,0,0,16,Prod. Order,XXX,0,FALSE,0,0
A6448,Class A #6448,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6461,Class A #6461,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A6520,Class A #6520,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6525,Class A #6525,0,0,2,Prod. Order,XXX,0,FALSE,0,0
A6527,Class A #6527,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6540,Class A #6540,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A6561,Class A #6561,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6616,Class A #6616,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6625,Class A #6625,0,0,79,Prod. Order,XXX,0,FALSE,0,0
A6645,Class A #6645,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6825,Class A #6825,0,0,6,Prod. Order,XXX,0,FALSE,0,0
A6840,Class A #6840,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6925,Class A #6925,0,0,82,Prod. Order,XXX,0,FALSE,0,0
A6928,Class A #6928,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6940,Class A #6940,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A6953,Class A #6953,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A7016,Class A #7016,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A7025,Class A #7025,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A7027,Class A #7027,0,0,39,Prod. Order,XXX,0,TRUE,0,0
A7028,Class A #7028,0,0,1,Prod. Order,XXX,0,TRUE,0,0
A7051,Class A #7051,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A7125,Class A #7125,0,0,6,Prod. Order,XXX,0,FALSE,0,0
A7225,Class A #7225,0,0,10,Prod. Order,XXX,0,FALSE,0,0
A7321,Class A #7321,0,0,8,Prod. Order,XXX,0,FALSE,0,0
A7325,Class A #7325,0,0,1,Prod. Order,XXX,0,FALSE,0,0
A7328,Class A #7328,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A7332,Class A #7332,0,0,-15,Prod. Order,XXX,0,FALSE,0,0
A7425,Class A #7425,0,0,32,Prod. Order,XXX,0,FALSE,0,0
A7453,Class A #7453,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A7460,Class A #7460,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A7525,Class A #7525,0,0,21,Prod. Order,XXX,0,FALSE,0,0
A7625,Class A #7625,0,0,10,Prod. Order,XXX,0,FALSE,0,0
A7725,Class A #7725,0,0,30,Prod. Order,XXX,0,FALSE,0,0
A7801,Class A #7801,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A7825,Class A #7825,0,0,12,Prod. Order,XXX,0,FALSE,0,0
A7828,Class A #7828,0,0,4,Prod. Order,XXX,0,FALSE,0,0
A7925,Class A #7925,0,0,30,Prod. Order,XXX,0,FALSE,0,0
A8016,Class A #8016,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A8025,Class A #8025,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A8028,Class A #8028,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A8053,Class A #8053,0,0,0,Prod. Order,XXX,0,TRUE,0,0
A8116,Class A #8116,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8125,Class A #8125,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8148,Class A #8148,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8216,Class A #8216,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8227,Class A #8227,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8325,Class A #8325,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8416,Class A #8416,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8520,Class A #8520,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8528,Class A #8528,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8625,Class A #8625,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8628,Class A #8628,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8725,Class A #8725,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8727,Class A #8727,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8728,Class A #8728,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8732,Class A #8732,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8851,Class A #8851,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8863,Class A #8863,0,0,0,Prod. Order,XXX,0,FALSE,0,0
A8903,Class A #8903,0,0,0,Prod. Order,XXX,0,FALSE,0,0
